Date,Open,Close,Adj Close,Volume,High_Low
2020-12-10,573.2,558.99,558.99,608414.51466,575.7/548.11
2020-12-11,558.99,544.43,544.43,768921.78317,560.8/535.5
2020-12-12,544.46,568.04,568.04,573913.95311,574.0/543.1
2020-12-13,568.09,590.7,590.7,657794.46158,595.0/563.22
2020-12-14,590.81,586.29,586.29,493012.02706,591.48/575.6
2020-12-15,586.29,588.64,588.64,569270.52011,597.2/578.58
2020-12-16,588.78,637.18,637.18,1185588.05078,640.0/580.71
2020-12-17,637.18,642.7,642.7,2006130.01975,676.25/625.76
2020-12-18,642.71,653.85,653.85,1000012.98018,664.61/629.4
2020-12-19,653.76,658.03,658.03,858803.88459,669.95/645.42
2020-12-20,658.05,638.18,638.18,823958.22843,661.39/621.01
2020-12-21,638.1,607.58,607.58,843251.16565,648.0/595.9
2020-12-22,607.68,636.45,636.45,918851.25654,637.73/588.0
2020-12-23,636.41,585.56,585.56,1208807.36518,638.44/551.28
2020-12-24,585.48,612.31,612.31,886335.86333,615.02/565.43
2020-12-25,612.31,626.82,626.82,798009.62915,634.24/604.28
2020-12-26,626.78,637.44,637.44,958585.50647,652.91/615.26
2020-12-27,637.44,685.11,685.11,1859968.15029,717.13/625.0
2020-12-28,685.1,730.41,730.41,1627154.39266,748.09/681.04
2020-12-29,730.4,732.0,732.0,1106876.35855,740.78/689.2
2020-12-30,732.0,752.17,752.17,1008574.09906,758.74/716.62
2020-12-31,752.17,736.42,736.42,863375.57981,755.74/722.0
2021-01-01,736.42,728.91,728.91,675114.09329,749.0/714.29
2021-01-02,728.91,774.56,774.56,1352618.57668,787.69/714.91
2021-01-03,774.44,978.28,978.28,2813603.88615,1011.07/768.71
2021-01-04,978.33,1041.43,1041.43,4245010.94004,1162.97/890.0
2021-01-05,1041.45,1099.56,1099.56,2706995.67525,1134.6/974.45
2021-01-06,1100.16,1208.42,1208.42,2390136.59334,1213.0/1057.26
2021-01-07,1208.75,1224.87,1224.87,1972922.82059,1289.0/1131.0
2021-01-08,1224.86,1216.93,1216.93,2131172.92341,1273.75/1065.0
